,r$_x$,r$_y$,r$_z$
0,60.0,0.0,0.0
1,59.6713137220964,6.271707796059207,0.0
2,58.68885604402834,12.47470144906556,0.0
3,57.06339097770921,18.541019662496844,0.0
4,54.812727458556054,24.40419858454801,0.0
5,51.96152422706632,29.999999999999996,0.0
6,48.54101966249685,35.26711513754839,0.0
7,44.58868952864366,40.14783638153149,0.0
8,40.14783638153149,44.58868952864365,0.0
9,35.26711513754839,48.54101966249685,0.0
10,30.000000000000007,51.96152422706631,0.0
11,24.404198584548023,54.812727458556054,0.0
12,18.541019662496847,57.06339097770921,0.0
13,12.474701449065567,58.688856044028334,0.0
14,6.2717077960592205,59.6713137220964,0.0
15,3.67394039744206e-15,60.0,0.0
16,-6.2717077960592,59.67131372209641,0.0
17,-12.474701449065547,58.68885604402834,0.0
18,-18.54101966249684,57.06339097770922,0.0
19,-24.404198584548002,54.81272745855606,0.0
20,-29.999999999999986,51.96152422706632,0.0
21,-35.26711513754838,48.54101966249685,0.0
22,-40.14783638153148,44.58868952864367,0.0
23,-44.58868952864364,40.1478363815315,0.0
24,-48.54101966249684,35.267115137548394,0.0
25,-51.961524227066306,30.00000000000002,0.0
26,-54.81272745855605,24.404198584548027,0.0
27,-57.06339097770921,18.54101966249685,0.0
28,-58.688856044028334,12.474701449065584,0.0
29,-59.6713137220964,6.271707796059224,0.0
30,-60.0,7.34788079488412e-15,0.0
31,-59.67131372209641,-6.271707796059183,0.0
32,-58.68885604402834,-12.474701449065543,0.0
33,-57.06339097770922,-18.541019662496836,0.0
34,-54.81272745855607,-24.404198584547988,0.0
35,-51.96152422706633,-29.999999999999982,0.0
36,-48.54101966249685,-35.26711513754838,0.0
37,-44.58868952864368,-40.14783638153148,0.0
38,-40.147836381531505,-44.58868952864364,0.0
39,-35.267115137548394,-48.54101966249684,0.0
40,-30.00000000000003,-51.961524227066306,0.0
41,-24.404198584548052,-54.81272745855603,0.0
42,-18.541019662496854,-57.06339097770921,0.0
43,-12.474701449065588,-58.688856044028334,0.0
44,-6.271707796059254,-59.6713137220964,0.0
45,-1.1021821192326178e-14,-60.0,0.0
46,6.271707796059179,-59.67131372209641,0.0
47,12.474701449065513,-58.68885604402835,0.0
48,18.541019662496833,-57.06339097770922,0.0
49,24.404198584547984,-54.81272745855607,0.0
50,29.99999999999996,-51.96152422706634,0.0
51,35.26711513754837,-48.54101966249685,0.0
52,40.14783638153147,-44.58868952864368,0.0
53,44.58868952864362,-40.147836381531526,0.0
54,48.54101966249684,-35.2671151375484,0.0
55,51.961524227066306,-30.00000000000003,0.0
56,54.81272745855603,-24.404198584548055,0.0
57,57.06339097770921,-18.541019662496858,0.0
58,58.688856044028334,-12.474701449065591,0.0
59,59.6713137220964,-6.271707796059259,0.0
60,60.0,0.0,8.3
61,59.6713137220964,6.271707796059207,8.3
62,58.68885604402834,12.47470144906556,8.3
63,57.06339097770921,18.541019662496844,8.3
64,54.812727458556054,24.40419858454801,8.3
65,51.96152422706632,29.999999999999996,8.3
66,48.54101966249685,35.26711513754839,8.3
67,44.58868952864366,40.14783638153149,8.3
68,40.14783638153149,44.58868952864365,8.3
69,35.26711513754839,48.54101966249685,8.3
70,30.000000000000007,51.96152422706631,8.3
71,24.404198584548023,54.812727458556054,8.3
72,18.541019662496847,57.06339097770921,8.3
73,12.474701449065567,58.688856044028334,8.3
74,6.2717077960592205,59.6713137220964,8.3
75,3.67394039744206e-15,60.0,8.3
76,-6.2717077960592,59.67131372209641,8.3
77,-12.474701449065547,58.68885604402834,8.3
78,-18.54101966249684,57.06339097770922,8.3
79,-24.404198584548002,54.81272745855606,8.3
80,-29.999999999999986,51.96152422706632,8.3
81,-35.26711513754838,48.54101966249685,8.3
82,-40.14783638153148,44.58868952864367,8.3
83,-44.58868952864364,40.1478363815315,8.3
84,-48.54101966249684,35.267115137548394,8.3
85,-51.961524227066306,30.00000000000002,8.3
86,-54.81272745855605,24.404198584548027,8.3
87,-57.06339097770921,18.54101966249685,8.3
88,-58.688856044028334,12.474701449065584,8.3
89,-59.6713137220964,6.271707796059224,8.3
90,-60.0,7.34788079488412e-15,8.3
91,-59.67131372209641,-6.271707796059183,8.3
92,-58.68885604402834,-12.474701449065543,8.3
93,-57.06339097770922,-18.541019662496836,8.3
94,-54.81272745855607,-24.404198584547988,8.3
95,-51.96152422706633,-29.999999999999982,8.3
96,-48.54101966249685,-35.26711513754838,8.3
97,-44.58868952864368,-40.14783638153148,8.3
98,-40.147836381531505,-44.58868952864364,8.3
99,-35.267115137548394,-48.54101966249684,8.3
100,-30.00000000000003,-51.961524227066306,8.3
101,-24.404198584548052,-54.81272745855603,8.3
102,-18.541019662496854,-57.06339097770921,8.3
103,-12.474701449065588,-58.688856044028334,8.3
104,-6.271707796059254,-59.6713137220964,8.3
105,-1.1021821192326178e-14,-60.0,8.3
106,6.271707796059179,-59.67131372209641,8.3
107,12.474701449065513,-58.68885604402835,8.3
108,18.541019662496833,-57.06339097770922,8.3
109,24.404198584547984,-54.81272745855607,8.3
110,29.99999999999996,-51.96152422706634,8.3
111,35.26711513754837,-48.54101966249685,8.3
112,40.14783638153147,-44.58868952864368,8.3
113,44.58868952864362,-40.147836381531526,8.3
114,48.54101966249684,-35.2671151375484,8.3
115,51.961524227066306,-30.00000000000003,8.3
116,54.81272745855603,-24.404198584548055,8.3
117,57.06339097770921,-18.541019662496858,8.3
118,58.688856044028334,-12.474701449065591,8.3
119,59.6713137220964,-6.271707796059259,8.3
120,60.0,0.0,16.6
121,59.6713137220964,6.271707796059207,16.6
122,58.68885604402834,12.47470144906556,16.6
123,57.06339097770921,18.541019662496844,16.6
124,54.812727458556054,24.40419858454801,16.6
125,51.96152422706632,29.999999999999996,16.6
126,48.54101966249685,35.26711513754839,16.6
127,44.58868952864366,40.14783638153149,16.6
128,40.14783638153149,44.58868952864365,16.6
129,35.26711513754839,48.54101966249685,16.6
130,30.000000000000007,51.96152422706631,16.6
131,24.404198584548023,54.812727458556054,16.6
132,18.541019662496847,57.06339097770921,16.6
133,12.474701449065567,58.688856044028334,16.6
134,6.2717077960592205,59.6713137220964,16.6
135,3.67394039744206e-15,60.0,16.6
136,-6.2717077960592,59.67131372209641,16.6
137,-12.474701449065547,58.68885604402834,16.6
138,-18.54101966249684,57.06339097770922,16.6
139,-24.404198584548002,54.81272745855606,16.6
140,-29.999999999999986,51.96152422706632,16.6
141,-35.26711513754838,48.54101966249685,16.6
142,-40.14783638153148,44.58868952864367,16.6
143,-44.58868952864364,40.1478363815315,16.6
144,-48.54101966249684,35.267115137548394,16.6
145,-51.961524227066306,30.00000000000002,16.6
146,-54.81272745855605,24.404198584548027,16.6
147,-57.06339097770921,18.54101966249685,16.6
148,-58.688856044028334,12.474701449065584,16.6
149,-59.6713137220964,6.271707796059224,16.6
150,-60.0,7.34788079488412e-15,16.6
151,-59.67131372209641,-6.271707796059183,16.6
152,-58.68885604402834,-12.474701449065543,16.6
153,-57.06339097770922,-18.541019662496836,16.6
154,-54.81272745855607,-24.404198584547988,16.6
155,-51.96152422706633,-29.999999999999982,16.6
156,-48.54101966249685,-35.26711513754838,16.6
157,-44.58868952864368,-40.14783638153148,16.6
158,-40.147836381531505,-44.58868952864364,16.6
159,-35.267115137548394,-48.54101966249684,16.6
160,-30.00000000000003,-51.961524227066306,16.6
161,-24.404198584548052,-54.81272745855603,16.6
162,-18.541019662496854,-57.06339097770921,16.6
163,-12.474701449065588,-58.688856044028334,16.6
164,-6.271707796059254,-59.6713137220964,16.6
165,-1.1021821192326178e-14,-60.0,16.6
166,6.271707796059179,-59.67131372209641,16.6
167,12.474701449065513,-58.68885604402835,16.6
168,18.541019662496833,-57.06339097770922,16.6
169,24.404198584547984,-54.81272745855607,16.6
170,29.99999999999996,-51.96152422706634,16.6
171,35.26711513754837,-48.54101966249685,16.6
172,40.14783638153147,-44.58868952864368,16.6
173,44.58868952864362,-40.147836381531526,16.6
174,48.54101966249684,-35.2671151375484,16.6
175,51.961524227066306,-30.00000000000003,16.6
176,54.81272745855603,-24.404198584548055,16.6
177,57.06339097770921,-18.541019662496858,16.6
178,58.688856044028334,-12.474701449065591,16.6
179,59.6713137220964,-6.271707796059259,16.6
180,60.0,0.0,24.900000000000002
181,59.6713137220964,6.271707796059207,24.900000000000002
182,58.68885604402834,12.47470144906556,24.900000000000002
183,57.06339097770921,18.541019662496844,24.900000000000002
184,54.812727458556054,24.40419858454801,24.900000000000002
185,51.96152422706632,29.999999999999996,24.900000000000002
186,48.54101966249685,35.26711513754839,24.900000000000002
187,44.58868952864366,40.14783638153149,24.900000000000002
188,40.14783638153149,44.58868952864365,24.900000000000002
189,35.26711513754839,48.54101966249685,24.900000000000002
190,30.000000000000007,51.96152422706631,24.900000000000002
191,24.404198584548023,54.812727458556054,24.900000000000002
192,18.541019662496847,57.06339097770921,24.900000000000002
193,12.474701449065567,58.688856044028334,24.900000000000002
194,6.2717077960592205,59.6713137220964,24.900000000000002
195,3.67394039744206e-15,60.0,24.900000000000002
196,-6.2717077960592,59.67131372209641,24.900000000000002
197,-12.474701449065547,58.68885604402834,24.900000000000002
198,-18.54101966249684,57.06339097770922,24.900000000000002
199,-24.404198584548002,54.81272745855606,24.900000000000002
200,-29.999999999999986,51.96152422706632,24.900000000000002
201,-35.26711513754838,48.54101966249685,24.900000000000002
